brand,product_count,avg_price_usd,avg_rating,total_reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct
Globlazer,12,101.74,4.56,8381,13537,10.32,1326434.63,19.29
Feandrea,10,56.37,4.54,58459,11292,8.61,564645.3,8.21
Yaheetech,4,47.28,4.57,58239,10695,8.15,479118.51,6.97
Heybly,5,70.51,4.44,15493,9400,7.16,538762.8,7.84
Sweetcrispy,2,33.93,4.45,2343,8523,6.5,284674.14,4.14
FDW,1,34.1,4.1,6897,7685,5.86,262058.5,3.81
SHA CERLIN,3,93.32,4.5,5931,5378,4.1,517666.16,7.53
Hey-brother,8,67.49,4.4,7826,5258,4.01,396476.42,5.77
Happi N Pets,2,32.99,4.5,1592,4746,3.62,155114.54,2.26
TWDEPART,1,25.99,4.4,3534,4077,3.11,105961.23,1.54
Amazon Basics,2,46.45,4.6,74292,4026,3.07,147719.22,2.15
AIWIKIDE,1,34.84,4.3,17228,3592,2.74,125145.28,1.82
YUNIQUE,1,39.99,4.2,7575,3402,2.59,136045.98,1.98
YOUPETSER,1,26.99,4.3,3198,3167,2.41,85477.33,1.24
PAWZ Road,3,59.99,4.47,8990,2887,2.2,170401.13,2.48
Gitelsnour,4,71.49,4.38,2346,2841,2.17,176265.59,2.56
Smouatou,1,40.99,4.2,9420,2712,2.07,111164.88,1.62
SYANDLVY,3,37.04,4.53,4913,2435,1.86,92252.95,1.34
pawfessor,2,41.49,4.6,1505,2403,1.83,100901.97,1.47
FISH&NAP,1,39.99,4.5,3860,2307,1.76,92256.93,1.34
MUTTROS,3,48.94,4.5,3009,1614,1.23,85854.51,1.25
Taoqimiao,2,74.99,4.4,2960,1601,1.22,105533.99,1.53
PEQULTI,2,34.99,4.45,4015,1576,1.2,52644.24,0.77
DUMOS,1,37.92,4.5,1853,1514,1.15,57410.88,0.83
BestPet,1,18.99,4.2,22255,1349,1.03,25617.51,0.37
Aechonow,1,33.99,4.5,2297,1109,0.85,37694.91,0.55
MIAO PAW,1,40.99,4.3,587,1056,0.8,43285.44,0.63
SONGMICS HOME,1,52.99,4.1,24,1001,0.76,53042.99,0.77
PETEPELA,1,37.99,4.4,939,873,0.67,33165.27,0.48
TSCOMON,1,44.3,4.3,2321,826,0.63,36591.8,0.53
MWPO,1,69.99,4.6,5066,758,0.58,50399.42,0.73
FUKUMARU,2,99.79,4.6,1235,746,0.57,64875.34,0.94
Purrlato,1,39.99,4.2,112,647,0.49,25873.53,0.38
SIYIPURR,1,31.99,4.4,438,593,0.45,18970.07,0.28
Woochpet,1,39.99,4.6,144,575,0.44,22994.25,0.33
FourFurPets,1,39.99,4.4,1169,515,0.39,20594.85,0.3
UYMI,1,45.99,4.4,325,498,0.38,22903.02,0.33
Roypet,1,22.99,4.3,3497,486,0.37,11173.14,0.16
KinoTail,1,34.99,4.5,160,480,0.37,16795.2,0.24
Max & Marlow,1,36.61,4.3,1519,471,0.36,17243.31,0.25
TQEW,1,147.15,4.5,787,466,0.36,68571.9,1.0
ESOTTE,1,49.99,4.3,951,440,0.34,21995.6,0.32
Psicway,1,24.99,4.6,83,378,0.29,9446.22,0.14
keygarzone,1,31.99,4.6,48,336,0.26,10748.64,0.16
HITTITE,1,149.99,4.1,46,335,0.26,50246.65,0.73
Allewie,1,99.99,4.6,495,228,0.17,22797.72,0.33
CAPHAUS,1,53.99,4.4,1549,208,0.16,11229.92,0.16
Cat Craft,1,56.99,4.6,123,168,0.13,9574.32,0.14
