seller,product_count,avg_price_usd,avg_rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct
Amazon,22,59.13636363636363,4.486363636363635,151739,39183,30.072989339411944,1912577.5699999996,28.0101264985597
Globlazer,12,101.74,4.5583333333333345,8381,13537,10.38966022733378,1326434.6300000004,19.425931978471468
Yaheetech,4,47.28,4.574999999999999,58239,10695,8.20842255531763,479118.51,7.016797793409991
Heybly,5,70.51,4.4399999999999995,15493,9400,7.214508837773326,538762.7999999999,7.890301767325559
Hey brother,8,67.49000000000001,4.4,7826,5258,4.035519943511931,396476.42000000004,5.80648589217539
Happi N Pets,2,32.99,4.5,1592,4746,3.642559462135341,155114.54,2.2716871489640544
TIN&WEI,1,25.99,4.4,3534,4077,3.1291013331491335,105961.23,1.551825924761305
HAPPINESS2,1,34.84,4.3,17228,3592,2.756863377157637,125145.28,1.8327806299106992
YUNWEI PET STORE,1,39.99,4.2,7575,3402,2.6110381985217934,136045.98,1.992423820708367
YOUPET,1,26.99,4.3,3198,3167,2.43067547757746,85477.33,1.2518346254887496
Gitelsnour Home,4,71.49,4.375,2346,2841,2.1804701710759598,176265.59,2.5814490092777054
XIN DEPARTMENT,1,40.99,4.2,9420,2712,2.0814625497916235,111164.88,1.6280345434549932
SYANDLVY,3,37.04,4.533333333333333,4913,2435,1.868864789359367,92252.95000000001,1.3510650965990907
We Love Unity Commerce,2,41.49,4.6,1505,2403,1.8443047592733302,100901.97,1.4777319299284037
FISH&NAP,1,39.99,4.5,3860,2307,1.7706246690152194,92256.93,1.3511233845897126
CHPET INC,3,48.94,4.5,3009,1614,1.2387465174644838,85854.51,1.2573585109919798
AICHONGTECH,2,74.99,4.4,2960,1601,1.2287690052420315,105533.98999999999,1.5455688993559278
Siyupet,2,34.99,4.45,4015,1576,1.2095814817373152,52644.24,0.7709866752335367
Sweet  Pet,2,64.99,4.55,7351,1502,1.1527864121633549,101164.98,1.4815837702333101
Sweet Pet,1,49.99,4.3,1639,1385,1.0629888021612826,69236.15,1.0139789100283418
Cavalier Store,1,18.99,4.2,22255,1349,1.0353587683144911,25617.51,0.3751741664930841
Aechonow Pets,1,33.99,4.5,2297,1109,0.8511585426692148,37694.91,0.5520503921060955
SONGMICS HOME US,1,21.99,4.5,197,1103,0.8465535370280828,24254.97,0.35521946329150494
MIAO PAW,1,40.99,4.3,587,1056,0.8104809928392163,43285.44,0.6339249549736257
hzhwpet,1,37.99,4.4,939,873,0.670028320784693,33165.27,0.4857128006885949
TSCOMON store,1,44.3,4.3,2321,826,0.6339557765958262,36591.8,0.5358950993083105
Mwpo,1,69.99,4.6,5066,758,0.581765712662998,50399.42,0.7381107840002745
GLORIEROO,1,39.99,4.2,112,647,0.49657310830205764,25873.53,0.3789236366838076
ZZSY24,1,31.99,4.4,438,593,0.45512805753187047,18970.07,0.27782092016614657
Woochpet,1,39.99,4.6,144,575,0.44131304060847476,22994.25,0.3367559367746358
FourFurPets,1,39.99,4.4,1169,515,0.39526298419715566,20594.85,0.301616186850326
UYMI-US,1,45.99,4.4,325,498,0.38221546821394853,22903.02,0.33541985300969673
Roypet,1,22.99,4.3,3497,486,0.37300545693168474,11173.14,0.16363313556276696
OROPY Home,1,34.99,4.5,160,480,0.3684004512905528,16795.2,0.2459694623359041
Bedoo cat,1,147.15,4.5,787,466,0.35765543812791173,68571.9,1.0042508201361926
Pwinner,1,24.99,4.6,83,378,0.29011535539131034,9446.22,0.13834200572226968
KeygarZone,1,31.99,4.6,48,336,0.257880315903387,10748.64,0.1574162380705316
HITTITE,1,149.99,4.1,46,335,0.2571128149631983,50246.65,0.7358734331642586
FUKUMARU,1,145.79,4.6,594,269,0.20645775291074733,39217.51,0.5743492098250061
Fencerwire,1,53.99,4.4,1549,208,0.15964019555923956,11229.92,0.16446469136867772
