month,value,partial
2024-06,139640,false
2024-07,184308,false
2024-08,159973,false
2024-09,152636,false
2024-10,160250,false
2024-11,206845,false
2024-12,215993,false
2025-01,154073,false
2025-02,129808,false
2025-03,147834,false
2025-04,135975,false
2025-05,140271,false
2025-06,167102,false
2025-07,214921,false
2025-08,193126,false
2025-09,169234,false
2025-10,162027,false
2025-11,181884,false
2025-12,224870,false
2026-01,148194,false
2026-02,123822,false
2026-03,139508,false
2026-04,126469,false
2026-05,133949,false
2026-06,88557,true
